,Accuracy,AUC,F1,Precision,Recall,accuracy_std,auc_std,f1_std,precision_std,recall_std
0,0.7738860746519067,0.8268902977544437,0.7328953474826913,0.813597153474101,0.8629770992366412,0.01573669893202172,0.03048741730166327,0.01807025063858077,0.011893721282849531,0.017640303551220027
1,0.7811234469997356,0.8471303393118756,0.7364002568729908,0.8103158381889626,0.8827781633125145,0.022244639955604658,0.02705604697827956,0.02832461137705746,0.01841488716907954,0.01584480227382469
2,0.7944044517093117,0.8446321918292338,0.7517668608517487,0.8179030013490894,0.8949225075179272,0.01770849097502998,0.029062187795030017,0.02105671229352433,0.013737063223270266,0.017935869875758303
3,0.7934366419049776,0.8603831016223669,0.7488434610339377,0.8140873295404598,0.8995489243580848,0.019657345202573142,0.022470772034592856,0.022891120525878727,0.013716649089198493,0.018853925812021867
4,0.7893235041835925,0.858671447871114,0.7386946134104523,0.8038875845069846,0.910178117048346,0.017302200633734346,0.025587725649954592,0.02158620405023945,0.013141455928034756,0.016388163366779285
5,0.7923847286733884,0.8512940929538019,0.7446431752884111,0.8086432570038216,0.9071246819338421,0.013753470563511802,0.0289623015905684,0.01497468768933971,0.007238551362377622,0.01567678771200026
6,0.7923847286733885,0.8562981516822166,0.7399344813759605,0.802107215574708,0.919326856349757,0.014867492006855361,0.027673355628070828,0.017133769351037057,0.008683636019604224,0.017086532432611136
7,0.7790037061612909,0.8511389094851642,0.7219524941740066,0.792511938149522,0.9116817025213972,0.023263593387969874,0.02459993805698233,0.030155326268987183,0.018077145988282545,0.017964651218435476
8,0.7800082538963247,0.8509143699237927,0.7220352200767792,0.7921231370188853,0.9147004395095998,0.02689206840923642,0.02747786187022972,0.03615094192602627,0.021555602155030888,0.01790003363777291
9,0.790375363468147,0.8491082759391443,0.7394758486158501,0.8043125415257559,0.9117279666897986,0.027438655948157677,0.0217297493097288,0.03545120041366095,0.021999305832824383,0.017670648934077902
10,0.7810864932808967,0.847967880538849,0.7241229947011478,0.7941033201033201,0.9132199861207495,0.029840908405733255,0.03206272058089772,0.04115272709309656,0.025070333664698907,0.014201460768138503
11,0.7831432239826938,0.8455890107339297,0.7231461196454549,0.7905231210522345,0.9239301411057136,0.016359713179674454,0.030665269229729418,0.021828014411764157,0.013337865838830962,0.01783638199109688
12,0.7872772392065469,0.8435464152842492,0.7317938452829014,0.7981979797363591,0.917823270876706,0.0351354578160695,0.03224760585909011,0.046868595129262516,0.029696262870832275,0.017472534647987266
13,0.7933735238742602,0.8472390621156126,0.741346340324753,0.8044372066667014,0.9177885727504048,0.018733467401741033,0.029674332352722013,0.028230812748238493,0.01934436922060146,0.011347790432691351
14,0.7913853059066607,0.8550342790293888,0.739982681145914,0.8036193544537916,0.914769835762202,0.022656969451089564,0.02480616229838414,0.02941861014624198,0.017647096933861232,0.013006650741489014
15,0.7800503325834696,0.8458968691137108,0.7214422535341973,0.7925880175961101,0.914735137635901,0.025903054797264565,0.031204035875130022,0.037640758371587126,0.025665104787806266,0.016432802075268885
16,0.7779884769133665,0.84570887933543,0.7178833202115762,0.7894657249321776,0.9162618551931528,0.026563337896251846,0.03553771603534816,0.037532689170167124,0.023963425707547996,0.008554884630287063
17,0.7718450964842718,0.8424841795935546,0.7091894264440577,0.7837226897512868,0.9147467036780015,0.020823601391905776,0.03083949560696976,0.02750883017284051,0.015662111895802154,0.01701507495116597
18,0.7831431700356589,0.8449421987619747,0.7247225040685075,0.791963248196205,0.9208188757807078,0.0216231554702808,0.03074583478798546,0.02815681929317351,0.015471722947352507,0.014267518124055856
19,0.7821175829570527,0.8404313677602083,0.7236323118770673,0.7917781428825295,0.9193152903076566,0.013180238729834228,0.026268814278907943,0.017966622343929737,0.011879917112814819,0.013391978476470357
20,0.7789984193518803,0.8454094229738314,0.720014183791418,0.7901540433503691,0.9162387231089522,0.024841792950078635,0.02866171996021776,0.03244397034768788,0.018240774817663452,0.017580749232238478
21,0.7738544077424784,0.8454708776124569,0.7062430682876497,0.779027541246478,0.9284061993985657,0.015121372446196258,0.024555673982049758,0.017889303788328762,0.008667138246815892,0.015907365999597228
22,0.7738701063296055,0.8410864282822775,0.710172046289576,0.7836521811486028,0.9193037242655564,0.022497523962078304,0.029160795604710046,0.03131004342502027,0.018777336705216027,0.01255038684237013
23,0.7821016685817863,0.8368063802671388,0.7203041266440942,0.787935883530977,0.9269026139255147,0.02640155099788496,0.03196683095273267,0.03432048265759299,0.018586497089741475,0.018532971991455136
24,0.769804280157741,0.8326509655350304,0.7070576945925978,0.7833144759032511,0.9117279666897987,0.02276377638137642,0.028018840594570125,0.03188422480258259,0.01950987201921719,0.01129343318346971
25,0.7810759196620757,0.8387213261408156,0.7166210410216556,0.7869411937573122,0.9284293314827666,0.03308361635689252,0.03168482065587046,0.04812422515994504,0.029969453016157957,0.015834355177224844
26,0.7862464192655649,0.8484405908755861,0.728729718130763,0.7944722928166636,0.9223687254221605,0.02483049747219421,0.033112814610015064,0.03320344564922327,0.019531245023267023,0.016227721756872364
27,0.7718714226372547,0.8389236128322484,0.7024608131984756,0.7772849713179901,0.9284640296090678,0.02472416066456974,0.03040973480871895,0.03497500267480849,0.018566706980439978,0.013216803305199126
28,0.778004337341598,0.8409138226021575,0.7142495921475566,0.7846093666364673,0.9254105944945639,0.02186799648788829,0.03081255851153145,0.02925019808308182,0.015273812983686743,0.01758138838335223
29,0.7769944488501189,0.8433817010182706,0.7107716274150742,0.7823722813840728,0.9284755956511681,0.021932689967008975,0.028579132866321754,0.03203780233041511,0.018931007756784465,0.011273088441123319
30,0.775926729137333,0.843496206843058,0.7131012541354865,0.7847663597382593,0.9208188757807078,0.019639314886553804,0.032876456280523686,0.02619913296145326,0.014464815485494636,0.011605668873627411
31,0.7657174146423043,0.8391999213325547,0.6944298234405186,0.7734897530006226,0.9238954429794124,0.028712333719863488,0.03101841431518944,0.039433876753189254,0.02073840233874641,0.019231549319265528
32,0.7738910917261432,0.8465813352651377,0.7077608209776428,0.781611183521561,0.9238607448531113,0.028296727657451604,0.036756130520958205,0.03971441688093192,0.022478996851971106,0.01996519989501137
33,0.7759530013432812,0.8436047962586608,0.7124939414716376,0.7840038439602637,0.9223571593800601,0.0216100483388788,0.02424643884050264,0.02765112816430038,0.014797179406280047,0.016307692806905666
34,0.7810549882125729,0.8402691032462025,0.7210553869321714,0.7900515518002337,0.9208304418228082,0.02317824129569037,0.026923054986621963,0.03204184936488988,0.019141668153370404,0.012495501396719285
35,0.7677057405039732,0.8397421397958134,0.6985986313643698,0.7760880292945569,0.9223571593800601,0.011416883859712118,0.02642156297462332,0.018846581969366068,0.011231178931585803,0.0076337279794218985
36,0.7615621442867393,0.8388580690584508,0.6870501437409133,0.76863337308527,0.9253758963682628,0.023944679489340315,0.03642476373263061,0.02978299480058956,0.014202596293475315,0.022378022970492743
37,0.7800504404775392,0.8418842944278297,0.7161569693875678,0.7851811757350862,0.9284640296090677,0.020765359914087185,0.02913175557684058,0.028447189350237528,0.015604348060949739,0.012360522644383705
