,Accuracy,AUC,Precision,Recall,accuracy_std,auc_std,precision_std,recall_std
0,0.7060557164975428,0.7130173795846506,0.7574564127211739,0.8325815405968079,0.021272114901571576,0.023145242322997115,0.02118321726950048,0.03508562254987296
1,0.7254959620644452,0.7440095890865214,0.764780022891028,0.8584085126069858,0.028081477572990458,0.026599191445845976,0.022696888520691353,0.03127412871108285
2,0.7419748391029687,0.7958321773028357,0.7717877302436126,0.8795859356928059,0.022093177404318712,0.023403933117282512,0.01931338451628756,0.05424646863037417
3,0.7502275485927916,0.8058144934784964,0.7700090118388551,0.8994910941475827,0.01250488304395269,0.013567112487282504,0.011144396492675101,0.035382468049920145
4,0.7399392556388138,0.7963597517569369,0.7654762509996207,0.8872773536895675,0.017966597403848216,0.01752276848346006,0.006071938089456946,0.0501782629299853
5,0.7594741782517924,0.8115359150276851,0.7801511738895099,0.8964492250751792,0.018932720594624714,0.022611059691037553,0.0051783644736785265,0.037386407682019736
6,0.7491964589166357,0.8068305840461136,0.7716954486263949,0.8934189220448763,0.01164693687951157,0.02100036115854329,0.0120336350666844,0.024277064510894654
7,0.7543510441448585,0.811869607677098,0.7778967048891369,0.8919269026139256,0.013022320585680015,0.019563693873789454,0.017411773726377675,0.02791601255384173
8,0.7707669649937692,0.8324157233687292,0.7989878694265193,0.8827550312283137,0.021464068494422613,0.016214041677937777,0.010482439529005004,0.03644704869756653
9,0.7718136453629826,0.8312147625840375,0.7958923800214123,0.8919037705297248,0.011090934022097751,0.014137704762877786,0.015810124207076528,0.03469452907562063
10,0.7738755010330857,0.8321610509975252,0.7956942681786335,0.8949340735600277,0.010669084684749058,0.018812507820219274,0.005277436149208118,0.018530748675238674
11,0.7738753931390161,0.8285736330613476,0.7937503240860774,0.8995142262317835,0.022697778719695538,0.02330153596259434,0.0198698757420591,0.025374367538157253
12,0.7779780651356498,0.845511340114155,0.794208501454421,0.9071015498496415,0.01764520328908031,0.018346996034457743,0.016377411030146755,0.035060289000494356
13,0.7759268370314025,0.8433143242333367,0.7899974131419256,0.911681702521397,0.012408094950727052,0.015132705413375967,0.01857488924703106,0.0254695539711526
14,0.7625932339628952,0.8358376869499246,0.7842245123114366,0.8964492250751792,0.0122454958558919,0.020925244242930907,0.019387542221652006,0.032012573145981084
15,0.7749170564339931,0.8336974700315587,0.7895478010546,0.9101549849641453,0.01888376084696954,0.016254529524338597,0.018751008649237743,0.026713541380503913
16,0.7646392831518016,0.8372546174669265,0.782697266693227,0.9040828128614388,0.02126117847739,0.019838992486015006,0.025426586884676364,0.024039110761506118
17,0.7728814190228034,0.8371992900767948,0.7896241004709521,0.9071015498496415,0.021283327061121123,0.02184350212136405,0.026258483465072462,0.02401210621549553
18,0.7677319587628866,0.8350758456406121,0.7846222042845171,0.9071131158917419,0.01951587508620834,0.016697833848990384,0.02595300688962886,0.030777766124621436
19,0.7759426435125992,0.844363317207425,0.7919151557164653,0.9086398334489937,0.023016458959825625,0.022731306456572425,0.026524955351022294,0.02275191887184021
