	1939.SKBTI.0175	1939.SKBTI022	1939.SKBTI026	1939.SKBTI047	1939.SKBTI051	1939.SKBTI063	1939.SKBTI072	1939.SKBTI.0160	1939.SKBTI.0213.b	1939.SKBTI.0220	1939.SKBTI.0230.b	1939.SKBTI.0245.b	1939.SKBTI.0132	1939.SKBTI.0262.a	1939.SKBTI034	1939.SKBTI.0629	1939.SKBTI.0636	1939.SKBTI.0715	1939.SKBTI.0716	1939.SKBTI045	1939.SKBTI.0961	1939.SKBTI016	1939.SKBTI.0969	1939.SKBTI.0483	1939.SKBTI.0486	1939.SKBTI.0506	1939.SKBTI.0566	1939.SKBTI.0499	1939.SKBTI.0523	1939.SKBTI.0505	1939.SKBTI.0517	1939.SKBTI.0527	1939.SKBTI.0536	1939.SKBTI.0551	1939.SKBTI.0504	1939.SKBTI.0578	1939.SKBTI.0585	1939.SKBTI.0588	1939.SKBTI.0552	1939.SKBTI.0541	1939.SKBTI.0522	1939.SKBTI.0606	1939.SKBTI.0554	1939.SKBTI.0564	1939.SKBTI.0579	1939.SKBTI.0580	1939.SKBTI.0598	1939.SKBTI.0620	1939.SKBTI.0623	1939.SKBTI.0642	1939.SKBTI.0654	1939.SKBTI082.a	1939.SKBTI066.a	1939.SKBTI062.a	1939.SKBTI.0749	1939.SKBTI.0674	1939.SKBTI.0704	1939.SKBTI.0671	1939.SKBTI.0706	1939.SKBTI.0710	1939.SKBTI.0727	1939.SKBTI.0734	1939.SKBTI.0741	1939.SKBTI.0675	1939.SKBTI.0676	1939.SKBTI.0298	1939.SKBTI.0311	1939.SKBTI.0869	1939.SKBTI.0870	1939.SKBTI.0876	1939.SKBTI.0866	1939.SKBTI.0871	1939.SKBTI.0888	1939.SKBTI.0912	1939.SKBTI.0916	1939.SKBTI.0933	1939.SKBTI.0919	1939.SKBTI.0928	1939.SKBTI.0929	1939.SKBTI.0939	1939.SKBTI.0954	1939.SKBTI.0934	1939.SKBTI.0936	1939.SKBTI.0940	1939.SKBTI.0942	1939.SKBTI.0951	1939.SKBTI.0953	1939.SKBTI.0956	1939.SKBTI.0958	1939.SKBTI.0098.a	1939.SKBTI.0112.a	1939.SKBTI.0115.a	1939.SKBTI.0226.a	1939.SKBTI.0245.a	1939.SKBTI.0134.a	1939.SKBTI.0173.a	1939.SKBTI.0272.a	1939.SKBTI.0265.a	1939.SKBTI.0275.a	1939.SKBTI.0256.a	1939.SKBTI.0122.a	1939.SKBTI.0135	1939.SKBTI.0177.a	1939.SKBTI.1345	1939.SKBTI.1346	1939.SKBTI.1349	1939.SKBTI.1350	1939.SKBTI.1351	1939.SKBTI.1354	1939.SKBTI.1061	1939.SKBTI.1062	1939.SKBTI.1063	1939.SKBTI.1065	1939.SKBTI.1066	1939.SKBTI.1098	1939.SKBTI.1099	1939.SKBTI.1116	1939.SKBTI.1117	1939.SKBTI.1130	1939.SKBTI.1134	1939.SKBTI.1138	1939.SKBTI.1155	1939.SKBTI.1165	1939.SKBTI.1177	1939.SKBTI.1188	1939.SKBTI.1174	1939.SKBTI.1206	1939.SKBTI.1209	1939.SKBTI.1248	1939.SKBTI.0966	1939.SKBTI.0983	1939.SKBTI.1229	1939.SKBTI.0971	1939.SKBTI.0985	1939.SKBTI.0995	1939.SKBTI.1024	1939.SKBTI.1034	1939.SKBTI.1035	1939.SKBTI.1254	1939.SKBTI.1258	1939.SKBTI.1282	1939.SKBTI.1283	1939.SKBTI.1295	1939.SKBTI.1296	1939.SKBTI.1308	1939.SKBTI.1324	1939.SKBTI.1325	1939.SKBTI.1332	1939.SKBTI.1333	1939.SKBTI.1336	1939.SKBTI.1338	1939.SKBTI.1339	1939.SKBTI.1340	1939.SKBTI.1276	1939.SKBTI.1279	1939.SKBTI.1323	1939.SKBTI.1326	1939.SKBTI.0731.b	1939.SKBTI.0213.a	1939.SKBTI.0746	1939.SKBTI.0444	1939.SKBTI.0204.a	1939.SKBTI.0228.a	1939.SKBTI.0750	1939.SKBTI003.b	1939.SKBTI028	1939.SKBTI009	1939.SKBTI011	1939.SKBTI019	1939.SKBTI024	1939.SKBTI025	1939.SKBTI013	1939.SKBTI033	1939.SKBTI048	1939.SKBTI043	1939.SKBTI050	1939.SKBTI057	1939.SKBTI058	1939.SKBTI062.b	1939.SKBTI066.b	1939.SKBTI059	1939.SKBTI070	1939.SKBTI071	1939.SKBTI074	1939.SKBTI075.b	1939.SKBTI077	1939.SKBTI079	1939.SKBTI092.b	1939.SKBTI095	1939.SKBTI096	1939.SKBTI076.b	1939.SKBTI.0098.b	1939.SKBTI.0112.b	1939.SKBTI.0117	1939.SKBTI.0128	1939.SKBTI.0138	1939.SKBTI.0139	1939.SKBTI.0122.b	1939.SKBTI.0124	1939.SKBTI.0129	1939.SKBTI.0145	1939.SKBTI.0148	1939.SKBTI.0147	1939.SKBTI.0153	1939.SKBTI.0157.b	1939.SKBTI.0159	1939.SKBTI.0162	1939.SKBTI.0149	1939.SKBTI.0158	1939.SKBTI.0170	1939.SKBTI.0174	1939.SKBTI.0177.b	1939.SKBTI.0184	1939.SKBTI.0190	1939.SKBTI.0120	1939.SKBTI.0180	1939.SKBTI.0176	1939.SKBTI.0192	1939.SKBTI.0123	1939.SKBTI.0202	1939.SKBTI.0206	1939.SKBTI.0208	1939.SKBTI.0210	1939.SKBTI.0212	1939.SKBTI.0215	1939.SKBTI.0217	1939.SKBTI.0221	1939.SKBTI.0204.b	1939.SKBTI.0207	1939.SKBTI.0219	1939.SKBTI.0231	1939.SKBTI.0228.b	1939.SKBTI.0232	1939.SKBTI.0234	1939.SKBTI.0238	1939.SKBTI.0242	1939.SKBTI.0246.b	1939.SKBTI.0247	1939.SKBTI.0251	1939.SKBTI.0263	1939.SKBTI.0233	1939.SKBTI.0235	1939.SKBTI.0249	1939.SKBTI.0259	1939.SKBTI.0275.b	1939.SKBTI.0279	1939.SKBTI.0280	1939.SKBTI.0284	1939.SKBTI.0285	1939.SKBTI.0274.b	1939.SKBTI.1094	1939.SKBTI.1092	1939.SKBTI.0974	1939.SKBTI.0981	1939.SKBTI.0984	1939.SKBTI.1002	1939.SKBTI.1003	1939.SKBTI.0967	1939.SKBTI.0963	1939.SKBTI.0976	1939.SKBTI.0994	1939.SKBTI.1021	1939.SKBTI.1038	1939.SKBTI.1051	1939.SKBTI.1053	1939.SKBTI.1056	1939.SKBTI.1146	1939.SKBTI.1054	1939.SKBTI.1272	1939.SKBTI.1289	1939.SKBTI.1291	1939.SKBTI.1344	1939.SKBTI.1292	1939.SKBTI.1343	1939.SKBTI.1244	1939.SKBTI.0544	1939.SKBTI.0513	1939.SKBTI.0550	1939.SKBTI.0562	1939.SKBTI.0607	1939.SKBTI.0610	1939.SKBTI.0617	1939.SKBTI.0647	1939.SKBTI.0737	1939.SKBTI.0865	1939.SKBTI.0867	1939.SKBTI.0868	1939.SKBTI.0877	1939.SKBTI.0881	1939.SKBTI.0882	1939.SKBTI.0884	1939.SKBTI.0889	1939.SKBTI.0890	1939.SKBTI.0891	1939.SKBTI.0363	1939.SKBTI.0885	1939.SKBTI.0878	1939.SKBTI.0883	1939.SKBTI.0886	1939.SKBTI.0893	1939.SKBTI.0932	1939.SKBTI.0910	1939.SKBTI.0911	1939.SKBTI.0921	1939.SKBTI.0925	1939.SKBTI.0930	1939.SKBTI.0931	1939.SKBTI.0935	1939.SKBTI.0944	1939.SKBTI.0945	1939.SKBTI.0947	1939.SKBTI.0949	1939.SKBTI.0952	1939.SKBTI.0922	1939.SKBTI.0914	1939.SKBTI.0915	1939.SKBTI.0924	1939.SKBTI.0927	1939.SKBTI.0937	1939.SKBTI.0943	1939.SKBTI.0957	1939.SKBTI.0965	1939.SKBTI.1097	1939.SKBTI.1168	1939.SKBTI.1217	1939.SKBTI.1239	1939.SKBTI.1016	1939.SKBTI.1255	1939.SKBTI.1262	1939.SKBTI.1302	1939.SKBTI.1320	1939.SKBTI.1337	1939.SKBTI.0230.a	1939.SKBTI004	1939.SKBTI008	1939.SKBTI020	1939.SKBTI023	1939.SKBTI027	1939.SKBTI030	1939.SKBTI031	1939.SKBTI037	1939.SKBTI041	1939.SKBTI046.b	1939.SKBTI061	1939.SKBTI054	1939.SKBTI056	1939.SKBTI068	1939.SKBTI073	1939.SKBTI087	1939.SKBTI090	1939.SKBTI.0097	1939.SKBTI.0171	1939.SKBTI.0222	1939.SKBTI.0224	1939.SKBTI.0226.b	1939.SKBTI.0239	1939.SKBTI.0260	1939.SKBTI.0277.b	1939.SKBTI.0622	1939.SKBTI.0627	1939.SKBTI.0635	1939.SKBTI.0638	1939.SKBTI.0645	1939.SKBTI.0143.a	1939.SKBTI.0151	1939.SKBTI.1328	1939.SKBTI.0991	1939.SKBTI.0763	1939.SKBTI.0490	1939.SKBTI.0539	1939.SKBTI.0613	1939.SKBTI.0637	1939.SKBTI.0664	1939.SKBTI092.a	1939.SKBTI.0744	1939.SKBTI.0757	1939.SKBTI.0766	1939.SKBTI.0684	1939.SKBTI.0448	1939.SKBTI.0274.a	1939.SKBTI.1103	1939.SKBTI.1121	1939.SKBTI.1142	1939.SKBTI.1162	1939.SKBTI.1220	1939.SKBTI.1221	1939.SKBTI.0997	1939.SKBTI.1011	1939.SKBTI.1026	1939.SKBTI.0719	1939.SKBTI.0732	1939.SKBTI015	1939.SKBTI083	1939.SKBTI.0133	1939.SKBTI.0214	1939.SKBTI.0248	1939.SKBTI.0267	1939.SKBTI.0273	1939.SKBTI.1067	1939.SKBTI.1135	1939.SKBTI.1218	1939.SKBTI.0988	1939.SKBTI.0989	1939.SKBTI.1242	1939.SKBTI.0973	1939.SKBTI.0980	1939.SKBTI.1006	1939.SKBTI.1018	1939.SKBTI.0653	1939.SKBTI.0119	1939.SKBTI.0277.a	1939.SKBTI.0246.a	1939.SKBTI.1167	1939.SKBTI.1230	1939.SKBTI.1009	1939.SKBTI.0392	1939.SKBTI.0209.a	1939.SKBTI.0705.b	1939.SKBTI032	1939.SKBTI042	1939.SKBTI.0099	1939.SKBTI.0104	1939.SKBTI.0130	1939.SKBTI.0131	1939.SKBTI.0142	1939.SKBTI.0163	1939.SKBTI.0189	1939.SKBTI.0161	1939.SKBTI.0209.b	1939.SKBTI.0216	1939.SKBTI.0252	1939.SKBTI.0262.b	1939.SKBTI.0278	1939.SKBTI.1060	1939.SKBTI.1136	1939.SKBTI.0968	1939.SKBTI.1149	1939.SKBTI.1288	1939.SKBTI.1327	1939.SKBTI.0482	1939.SKBTI.0512	1939.SKBTI.0487	1939.SKBTI.0545	1939.SKBTI.0496	1939.SKBTI.0514	1939.SKBTI.0558	1939.SKBTI.0559	1939.SKBTI.0592	1939.SKBTI.0488	1939.SKBTI.0669	1939.SKBTI.0600	1939.SKBTI.0556	1939.SKBTI.0577	1939.SKBTI.0650	1939.SKBTI.0666	1939.SKBTI.0615	1939.SKBTI.0670	1939.SKBTI.0665	1939.SKBTI.0631	1939.SKBTI.0632	1939.SKBTI.0573	1939.SKBTI.0618	1939.SKBTI003.a	1939.SKBTI.0690	1939.SKBTI.0707	1939.SKBTI.0717	1939.SKBTI.0722	1939.SKBTI.0730	1939.SKBTI.0733	1939.SKBTI.0740	1939.SKBTI.0742	1939.SKBTI.0754	1939.SKBTI.0755	1939.SKBTI.0731.a	1939.SKBTI.0752	1939.SKBTI.0700	1939.SKBTI.0678	1939.SKBTI.0682	1939.SKBTI.0301	1939.SKBTI.0422	1939.SKBTI.0872	1939.SKBTI.0362	1939.SKBTI.0918	1939.SKBTI.0102.a	1939.SKBTI.0136.a	1939.SKBTI.0157.a	1939.SKBTI.0271.a	1939.SKBTI.1064	1939.SKBTI.1189	1939.SKBTI.1076	1939.SKBTI.1115	1939.SKBTI.1100	1939.SKBTI.1081	1939.SKBTI.1114	1939.SKBTI.1145	1939.SKBTI.1113	1939.SKBTI.1129	1939.SKBTI.1160	1939.SKBTI.1195	1939.SKBTI.1208	1939.SKBTI.1211	1939.SKBTI.1224	1939.SKBTI.1007	1939.SKBTI.1044	1939.SKBTI.1039	1939.SKBTI.1019	1939.SKBTI.1253	1939.SKBTI.1256	1939.SKBTI.1264	1939.SKBTI.1331	1939.SKBTI.1317	1939.SKBTI.1318	1939.SKBTI.1259	1939.SKBTI.1303	1939.SKBTI.0756.b	1939.SKBTI.0154.a	1939.SKBTI.0758	1939.SKBTI.0739	1939.SKBTI.0652	1939.SKBTI.0767.b	1939.SKBTI.0839	1939.SKBTI055	1939.SKBTI.0140	1939.SKBTI.0100	1939.SKBTI.0136.b	1939.SKBTI.0125	1939.SKBTI.0143.b	1939.SKBTI.0155	1939.SKBTI.0154.b	1939.SKBTI.0179	1939.SKBTI.0193	1939.SKBTI.0256.b	1939.SKBTI.0257	1939.SKBTI.0197	1939.SKBTI.0276	1939.SKBTI.1204	1939.SKBTI.1196	1939.SKBTI.1197	1939.SKBTI.1032	1939.SKBTI.1266	1939.SKBTI.1008	1939.SKBTI.1022	1939.SKBTI.1273	1939.SKBTI.0515	1939.SKBTI.0614	1939.SKBTI.0679	1939.SKBTI.0223.a	1939.SKBTI.0198.a	1939.SKBTI.1012	1939.SKBTI.1025	1939.SKBTI.0111	1939.SKBTI.0165	1939.SKBTI.0268	1939.SKBTI.0270	1939.SKBTI.0223.b	1939.SKBTI.1191	1939.SKBTI.1010	1939.SKBTI.1049	1939.SKBTI.0481	1939.SKBTI.0516	1939.SKBTI.0518	1939.SKBTI.0524	1939.SKBTI.0542	1939.SKBTI.0532	1939.SKBTI.0526	1939.SKBTI.0601	1939.SKBTI.0587	1939.SKBTI.0605	1939.SKBTI.0583	1939.SKBTI.0543	1939.SKBTI.0759	1939.SKBTI.0765	1939.SKBTI.0692	1939.SKBTI.0708	1939.SKBTI.0172.a	1939.SKBTI.1112	1939.SKBTI.1151	1939.SKBTI.1171	1939.SKBTI.1173	1939.SKBTI.1210	1939.SKBTI.1214	1939.SKBTI.1228	1939.SKBTI.1238	1939.SKBTI.0996	1939.SKBTI.1207	1939.SKBTI.1017	1939.SKBTI.1050	1939.SKBTI.1306	1939.SKBTI.0595	1939.SKBTI021	1939.SKBTI035	1939.SKBTI.0118	1939.SKBTI.0102.b	1939.SKBTI.0113	1939.SKBTI.0194	1939.SKBTI.0195	1939.SKBTI.0240	1939.SKBTI.0243	1939.SKBTI.0265.b	1939.SKBTI.0272.b	1939.SKBTI.1213	1939.SKBTI.1268	1939.SKBTI.1144	1939.SKBTI.1284	1939.SKBTI.0713	1939.SKBTI.1280	1939.SKBTI.1153	1939.SKBTI.0121	1939.SKBTI.0511	1939.SKBTI.0609	1939.SKBTI.0557	1939.SKBTI.0646	1939.SKBTI.0569	1939.SKBTI075.a	1939.SKBTI.0756.a	1939.SKBTI.1175	1939.SKBTI082.b	1939.SKBTI.0115.b	1939.SKBTI.0172.b	1939.SKBTI.0198.b	1939.SKBTI076.a	1939.SKBTI.0767.a	1939.SKBTI.0168	1939.SKBTI.0183	1939.SKBTI.0721	1939.SKBTI.0689	1939.SKBTI.0146	1939.SKBTI.1037	1939.SKBTI.1020	1939.SKBTI.0173.b	1939.SKBTI.0575	1939.SKBTI046.a	1939.SKBTI.0521	1939.SKBTI.0987	1939.SKBTI.0705.a	1939.SKBTI.1091	1939.SKBTI.1124	1939.SKBTI.0703	1939.SKBTI.0200	1939.SKBTI.0495	1939.SKBTI.0525	1939.SKBTI.0608	1939.SKBTI.0229	1939.SKBTI.0574	1939.SKBTI.0116	1939.SKBTI.0134.b	1939.SKBTI.0593	1939.SKBTI.0604	1939.SKBTI.0103	1939.SKBTI.0271.b	1939.SKBTI.1285	1939.SKBTI.0520	1939.SKBTI.0584	1939.SKBTI.0547	1939.SKBTI.0500	1939.SKBTI.0199	1939.SKBTI.0751
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00716442654982533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013188386683497558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010840695972681446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019389238972370332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013491999244448038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.857113673927981e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017179178835251675	0.0	0.0	0.0	0.0	0.0	0.0004547317723010709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.238619100005239e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001877581674802854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017657445556209535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.286720530350113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023703352542925294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012572817568417082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28990156304054e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.828694663830035e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
